job_title,job_skills,company,job_location,job_level,job_type
Senior Machine Learning Engineer,"Machine Learning, Programming, Python, Scala, Java, Data Engineering, Distributed Computing, Statistical Modeling, Optimization, Data Pipelines, Cloud Computing, DevOps, Software Development, Data Gathering, Data Preparation, Data Visualization, Machine Learning Frameworks, scikitlearn, PyTorch, Dask, Spark, TensorFlow, Distributed File Systems, Multi node Database Paradigms, Open Source ML Software, Responsible AI, Explainable AI",Jobs for Humanity,"New Haven, CT",Mid senior,Onsite
"Principal Software Engineer, ML Accelerators","C++, Python, PyTorch, TensorFlow, MXNet, CUDA, OpenCL, OpenVX, Halide, SIMD programming models, MLspecific accelerators, Linux/unix environments, Deep learning frameworks, Computer vision deep learning models, ML software and hardware technology, Inference on edge platforms, Cloud ML training pipelines, HPC experience, Performance troubleshooting, Profiling, Roofline model, Analytical skills, Communication skills",Aurora,"San Francisco, CA",Mid senior,Onsite
Senior ETL Data Warehouse Specialist,"ETL, Data Integration, Data Transformation, Data Warehousing, Business Intelligence, Data Modeling, Data Architecture, Data Quality, Data Validation, Data Cleansing, Performance Optimization, Performance Tuning, Troubleshooting, Documentation, Reporting, Data Analysis, Collaboration, Communication, SQL, Informatica, Talend, Apache NiFi, AWS Redshift, Azure SQL Data Warehouse, Financial/Banking, CloudBased Data Platforms, Regulatory Compliance",Adame Services LLC,"New York, NY",Associate,Onsite
Senior Data Warehouse Developer / Architect,"Data Lakes, Data Bricks, Azure Data Factory Pipelines, Spark, Python, Business Intelligence, Data Warehouse, SQL Server, Azure, ETL/ELT, SQL Server Integration Services, TSQL, Data Formatting, Data Capture, Data Search, Data Retrieval, Data Extraction, Data Classification, Information Filtering, Data Mining Architectures, Modeling Standards, Reporting, Data Analysis Methodologies, Data Engineering, Database File Systems Optimization, API's, Analytics as a Service, Relational Databases, Dimensional Databases, Entity Relationships, Data Warehousing, Facts, Dimensions, Star Schema Concepts, Star Schema Terminology, Project Management, Organizational Skills, Collaboration, Communication, Technical Presentaion Skills, 12+ Years of Relevant Experience",Morph Enterprise,"Harrisburg, PA",Mid senior,Onsite
Lead Data Engineer,"Java, Scala, Python, RDBMS, NoSQL, Redshift, Snowflake, Unit testing, Agile engineering, Big data technologies, Cloud computing (AWS Microsoft Azure Google Cloud), Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL), Realtime data and streaming applications, NoSQL implementation (Mongo Cassandra), Data warehousing (Redshift Snowflake), UNIX/Linux, Shell scripting",Dice,"Plano, TX",Mid senior,Onsite
Senior Data Engineer,"Data Warehouse (DW), Extract/Transform/Load (ETL), Oracle, VPD, MuleSoft, Cloudera Apache Hadoop Ecosystem, Hadoop, Java, Python, R, AI/ML, Predictive Analytics, Business Objects, Tableau, OBIA/OBIEE, Oracle Cloud Financials, Power Designer, Erwin, UNIX, ODBC, JDBC, Perl DBI, Shell Scripting, PL/SQL, SQL Developer, SQL Plus, SQL Loader, TOAD, Data Profiling, SourceTarget Mapping, Transformations, Business Rules, OWB, ODI, Data Stage, Informatica, SQL, Unix Server, Windows Workstation, Windows Server, Microsoft Office, Excel, Analytic Skills, ProblemSolving, Communication Skills, Teamwork, Accountability, Attention to Detail, Accuracy",University of Chicago,"Chicago, IL",Mid senior,Onsite
"Manager, Cyber Risk & Analysis (Machine Learning)","Machine Learning, Generative AI, Cloudbased services, Risk management, Project management, Process management, Data model, PRIME system, Lean, Green Belt Certification, CRISC, CISM, CRCM, CIPP, ABA Risk Management Certification, Compliance, Legal, Regulatory, Operations, Cybersecurity",Jobs for Humanity,"Boston, MA",Mid senior,Onsite
"Principal Associate, Data Loss Prevention (DLP) Engineer","Data Loss Prevention (DLP), Cybersecurity, Web Proxy, Email, Endpoint Solutions, Symantec Data Loss Prevention (DLP), Agile Delivery, Public Cloud Security, MultiCloud Environments, IT Delivery Projects, JIRA, Cloud Certifications (AWS), Security Certifications (CISSP), Computer Science, Systems Engineering, Software Development Practices, Platform Engineering",Jobs for Humanity,"Scranton, PA",Mid senior,Onsite
Senior Financial Data Analyst,"Problem solving, Data analysis, Predictive analysis, Trend identification, Performance monitoring, Communication, Reporting, Financial risk management, Business process analysis, Excel, Visio, Smartsheet, SNOW, SAP, Tableau, SQL, R, Power BI, Collaboration, Leadership, Bachelor's degree, Professional certification, Graduate degree",The Walt Disney Company,"Lake Buena Vista, FL",Mid senior,Onsite
Machine Learning Infrastructure Engineer,"Machine Learning, System Design, Multimodal Input, Prototyping, Data Management, Scalability, Reliability, Performance, DevOps, Python, C++, Distributed Systems, Infrastructure Design, Complex Systems, Software Engineering, ML Pipeline Automation, ML Workflows, ML Systems",L&T Technology Services,"Sunnyvale, CA",Mid senior,Onsite
