job_title,job_skills,company,job_location,job_level,job_type,job_title_clean,job_skills_clean
Senior Machine Learning Engineer,"Machine Learning, Programming, Python, Scala, Java, Data Engineering, Distributed Computing, Statistical Modeling, Optimization, Data Pipelines, Cloud Computing, DevOps, Software Development, Data Gathering, Data Preparation, Data Visualization, Machine Learning Frameworks, scikitlearn, PyTorch, Dask, Spark, TensorFlow, Distributed File Systems, Multi node Database Paradigms, Open Source ML Software, Responsible AI, Explainable AI",Jobs for Humanity,"New Haven, CT",Mid senior,Onsite,senior machine learning engineer,machine learning programming python scala java data engineering distributed computing statistical modeling optimization data pipelines cloud computing devops software development data gathering data preparation data visualization machine learning frameworks scikitlearn pytorch dask spark tensorflow distributed file systems multi node database paradigms open source ml software responsible ai explainable ai
"Principal Software Engineer, ML Accelerators","C++, Python, PyTorch, TensorFlow, MXNet, CUDA, OpenCL, OpenVX, Halide, SIMD programming models, MLspecific accelerators, Linux/unix environments, Deep learning frameworks, Computer vision deep learning models, ML software and hardware technology, Inference on edge platforms, Cloud ML training pipelines, HPC experience, Performance troubleshooting, Profiling, Roofline model, Analytical skills, Communication skills",Aurora,"San Francisco, CA",Mid senior,Onsite,principal software engineer ml accelerators,c python pytorch tensorflow mxnet cuda opencl openvx halide simd programming models mlspecific accelerators linux unix environments deep learning frameworks computer vision deep learning models ml software and hardware technology inference on edge platforms cloud ml training pipelines hpc experience performance troubleshooting profiling roofline model analytical skills communication skills
Senior ETL Data Warehouse Specialist,"ETL, Data Integration, Data Transformation, Data Warehousing, Business Intelligence, Data Modeling, Data Architecture, Data Quality, Data Validation, Data Cleansing, Performance Optimization, Performance Tuning, Troubleshooting, Documentation, Reporting, Data Analysis, Collaboration, Communication, SQL, Informatica, Talend, Apache NiFi, AWS Redshift, Azure SQL Data Warehouse, Financial/Banking, CloudBased Data Platforms, Regulatory Compliance",Adame Services LLC,"New York, NY",Associate,Onsite,senior etl data warehouse specialist,etl data integration data transformation data warehousing business intelligence data modeling data architecture data quality data validation data cleansing performance optimization performance tuning troubleshooting documentation reporting data analysis collaboration communication sql informatica talend apache nifi aws redshift azure sql data warehouse financial banking cloudbased data platforms regulatory compliance
Senior Data Warehouse Developer / Architect,"Data Lakes, Data Bricks, Azure Data Factory Pipelines, Spark, Python, Business Intelligence, Data Warehouse, SQL Server, Azure, ETL/ELT, SQL Server Integration Services, TSQL, Data Formatting, Data Capture, Data Search, Data Retrieval, Data Extraction, Data Classification, Information Filtering, Data Mining Architectures, Modeling Standards, Reporting, Data Analysis Methodologies, Data Engineering, Database File Systems Optimization, API's, Analytics as a Service, Relational Databases, Dimensional Databases, Entity Relationships, Data Warehousing, Facts, Dimensions, Star Schema Concepts, Star Schema Terminology, Project Management, Organizational Skills, Collaboration, Communication, Technical Presentaion Skills, 12+ Years of Relevant Experience",Morph Enterprise,"Harrisburg, PA",Mid senior,Onsite,senior data warehouse developer architect,data lakes data bricks azure data factory pipelines spark python business intelligence data warehouse sql server azure etl elt sql server integration services tsql data formatting data capture data search data retrieval data extraction data classification information filtering data mining architectures modeling standards reporting data analysis methodologies data engineering database file systems optimization api s analytics as a service relational databases dimensional databases entity relationships data warehousing facts dimensions star schema concepts star schema terminology project management organizational skills collaboration communication technical presentaion skills 12 years of relevant experience
Lead Data Engineer,"Java, Scala, Python, RDBMS, NoSQL, Redshift, Snowflake, Unit testing, Agile engineering, Big data technologies, Cloud computing (AWS Microsoft Azure Google Cloud), Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL), Realtime data and streaming applications, NoSQL implementation (Mongo Cassandra), Data warehousing (Redshift Snowflake), UNIX/Linux, Shell scripting",Dice,"Plano, TX",Mid senior,Onsite,lead data engineer,java scala python rdbms nosql redshift snowflake unit testing agile engineering big data technologies cloud computing aws microsoft azure google cloud distributed data computing tools mapreduce hadoop hive emr kafka spark gurobi mysql realtime data and streaming applications nosql implementation mongo cassandra data warehousing redshift snowflake unix linux shell scripting
Senior Data Engineer,"Data Warehouse (DW), Extract/Transform/Load (ETL), Oracle, VPD, MuleSoft, Cloudera Apache Hadoop Ecosystem, Hadoop, Java, Python, R, AI/ML, Predictive Analytics, Business Objects, Tableau, OBIA/OBIEE, Oracle Cloud Financials, Power Designer, Erwin, UNIX, ODBC, JDBC, Perl DBI, Shell Scripting, PL/SQL, SQL Developer, SQL Plus, SQL Loader, TOAD, Data Profiling, SourceTarget Mapping, Transformations, Business Rules, OWB, ODI, Data Stage, Informatica, SQL, Unix Server, Windows Workstation, Windows Server, Microsoft Office, Excel, Analytic Skills, ProblemSolving, Communication Skills, Teamwork, Accountability, Attention to Detail, Accuracy",University of Chicago,"Chicago, IL",Mid senior,Onsite,senior data engineer,data warehouse dw extract transform load etl oracle vpd mulesoft cloudera apache hadoop ecosystem hadoop java python r ai ml predictive analytics business objects tableau obia obiee oracle cloud financials power designer erwin unix odbc jdbc perl dbi shell scripting pl sql sql developer sql plus sql loader toad data profiling sourcetarget mapping transformations business rules owb odi data stage informatica sql unix server windows workstation windows server microsoft office excel analytic skills problemsolving communication skills teamwork accountability attention to detail accuracy
"Manager, Cyber Risk & Analysis (Machine Learning)","Machine Learning, Generative AI, Cloudbased services, Risk management, Project management, Process management, Data model, PRIME system, Lean, Green Belt Certification, CRISC, CISM, CRCM, CIPP, ABA Risk Management Certification, Compliance, Legal, Regulatory, Operations, Cybersecurity",Jobs for Humanity,"Boston, MA",Mid senior,Onsite,manager cyber risk analysis machine learning,machine learning generative ai cloudbased services risk management project management process management data model prime system lean green belt certification crisc cism crcm cipp aba risk management certification compliance legal regulatory operations cybersecurity
"Principal Associate, Data Loss Prevention (DLP) Engineer","Data Loss Prevention (DLP), Cybersecurity, Web Proxy, Email, Endpoint Solutions, Symantec Data Loss Prevention (DLP), Agile Delivery, Public Cloud Security, MultiCloud Environments, IT Delivery Projects, JIRA, Cloud Certifications (AWS), Security Certifications (CISSP), Computer Science, Systems Engineering, Software Development Practices, Platform Engineering",Jobs for Humanity,"Scranton, PA",Mid senior,Onsite,principal associate data loss prevention dlp engineer,data loss prevention dlp cybersecurity web proxy email endpoint solutions symantec data loss prevention dlp agile delivery public cloud security multicloud environments it delivery projects jira cloud certifications aws security certifications cissp computer science systems engineering software development practices platform engineering
Senior Financial Data Analyst,"Problem solving, Data analysis, Predictive analysis, Trend identification, Performance monitoring, Communication, Reporting, Financial risk management, Business process analysis, Excel, Visio, Smartsheet, SNOW, SAP, Tableau, SQL, R, Power BI, Collaboration, Leadership, Bachelor's degree, Professional certification, Graduate degree",The Walt Disney Company,"Lake Buena Vista, FL",Mid senior,Onsite,senior financial data analyst,problem solving data analysis predictive analysis trend identification performance monitoring communication reporting financial risk management business process analysis excel visio smartsheet snow sap tableau sql r power bi collaboration leadership bachelor s degree professional certification graduate degree
Machine Learning Infrastructure Engineer,"Machine Learning, System Design, Multimodal Input, Prototyping, Data Management, Scalability, Reliability, Performance, DevOps, Python, C++, Distributed Systems, Infrastructure Design, Complex Systems, Software Engineering, ML Pipeline Automation, ML Workflows, ML Systems",L&T Technology Services,"Sunnyvale, CA",Mid senior,Onsite,machine learning infrastructure engineer,machine learning system design multimodal input prototyping data management scalability reliability performance devops python c distributed systems infrastructure design complex systems software engineering ml pipeline automation ml workflows ml systems
